ori,ucr_agency_name,city_name,county_fips_code,state_code,state_postal_abbr
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830100,GALLATIN,Gallatin,165,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,147,41,TN
TN0830200,PORTLAND,Portland,165,41,TN
TN0830200,PORTLAND,Portland,165,41,TN
